"station_id";"codestation";"inseecom";"coordx";"coordy";"codecourseau";"libellecourseau";"codetronconhydro";"coderegion";"codedepartement";"naturestation";"libellenaturestation";"typeentitehydro";"cdtronconh";"idtronconh";"nomentiteh";"etat";"sens";"largeur";"nature";"navigable";"source";"target";"troncon_id";"gid";"distance";"cdentitehy";"nomentiteh_plando";"distance_planeau";"verif_cdho"
21060;"L6111053";"36204";"561416.25";"6635602.19";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6116500";"425001140";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";129345;129709;93807;"311819";"98.5773590244418";"L6111053";NULL;"0";False
21061;"L4726503";"36053";"565013.35";"6617887.03";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4725400";"450008630";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";120464;120465;83488;"301505";"111.5447327318579";"L4726503";"étang neuf";"0";False
21062;"L4726553";"36053";"564893.44";"6617519.91";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4725400";"450008630";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";120464;120465;83488;"301505";"354.8056928719488";"L4726553";"étang montflame";"0";False
21064;"L4729303";"36053";"564098.3";"6616946";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4725600";"423000503";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";120383;120384;83395;"301416";"605.1499648786108";"L4729303";"étang le grand fauviget";"0";False
21065;"L6115103";"36118";"581146.04";"6628662.4";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114320";"425001706";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";126036;126037;89697;"307713";"488.9151946861209";"L6115103";NULL;"0";False
21066;"L4735704";"36176";"557433";"6613366";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4734240";"423000626";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";117057;118369;81139;"299164";"31.58306508006132";"L4735703";"étang de la grange";"0";False
21068;"L4749223";"36066";"564409.8";"6621810";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4744300";"450009463";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";122396;122397;85643;"303654";"625.6087994853611";"L4749223";NULL;"0";False
21070;"L4749283";"36018";"559673.2";"6620950";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4745300";"423000299";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";121795;121921;85141;"303180";"501.08111318427706";"L4749283";NULL;"0";False
21072;"L6115203";"36144";"575633.4";"6625194";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114600";"425001968";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";124142;124143;87615;"305626";"115.21475599330275";"L6115203";"étang tissier";"0";False
21073;"L4755800";"36105";"550973.9";"6627234";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4754750";"423000116";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";124830;124714;88420;"306435";"42.5353265427788";"L4755803";"étang grouseaux";"0";False
